scenario,sim_time,day_time,job_id,source,event_type,technician,station,remaining_time,outcome,wait_time,turnaround_time,service_time,generated_at
base run,515.9046889840156,Day 21 - Monday 11:54,PROD-11,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,519.5,Day 21 - Monday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,236.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,535.0,Day 22 - Tuesday 07:00,PROD-12,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,540.7979102878385,Day 22 - Tuesday 12:48,RMA-16,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,542.5739213303384,Day 22 - Tuesday 14:34,RMA-17,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,543.5,Day 22 - Tuesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,228.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,559.0,Day 23 - Wednesday 07:00,PROD-13,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,564.3970680890285,Day 23 - Wednesday 12:24,PROD-14,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,565.531542041883,Day 23 - Wednesday 13:32,ADVEX-8,Advance Exchange,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,567.5,Day 23 - Wednesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,219.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,583.0,Day 24 - Thursday 07:00,RMA-18,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,591.5,Day 24 - Thursday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,211.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,607.0,Day 25 - Friday 07:00,PROD-15,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,607.0,Day 25 - Friday 07:00,RMA-19,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,615.5,Day 25 - Friday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,202.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,679.0,Day 28 - Monday 07:00,RMA-20,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,679.0,Day 28 - Monday 07:00,PROD-16,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,687.5,Day 28 - Monday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,194.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,703.0,Day 29 - Tuesday 07:00,PROD-17,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,703.0,Day 29 - Tuesday 07:00,RMA-21,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,705.7961717320215,Day 29 - Tuesday 09:48,RESHIP-8,Reship,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,711.5,Day 29 - Tuesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,185.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,727.0,Day 30 - Wednesday 07:00,RMA-22,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,727.0,Day 30 - Wednesday 07:00,PROD-18,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,735.5,Day 30 - Wednesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,177.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,751.0,Day 31 - Thursday 07:00,RMA-23,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,751.0,Day 31 - Thursday 07:00,PROD-19,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,759.5,Day 31 - Thursday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,168.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,775.0,Day 32 - Friday 07:00,RMA-24,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,780.3600314546908,Day 32 - Friday 12:22,RMA-25,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
