scenario,sim_time,day_time,tech_queue_length,station_queue_length,techs_busy,techs_idle,stations_busy,stations_idle,generated_at
base run,995,Day 41 - Sunday 11:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
extra gen tech,0,Day 0 - Monday 00:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,5,Day 0 - Monday 05:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,10,Day 0 - Monday 10:00,0,0,1,2,1,1,2026-07-15T19:35:44.979514
extra gen tech,15,Day 0 - Monday 15:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,20,Day 0 - Monday 20:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,25,Day 1 - Tuesday 01:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,30,Day 1 - Tuesday 06:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,35,Day 1 - Tuesday 11:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,40,Day 1 - Tuesday 16:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,45,Day 1 - Tuesday 21:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,50,Day 2 - Wednesday 02:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,55,Day 2 - Wednesday 07:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,60,Day 2 - Wednesday 12:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,65,Day 2 - Wednesday 17:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,70,Day 2 - Wednesday 22:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,75,Day 3 - Thursday 03:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,80,Day 3 - Thursday 08:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,85,Day 3 - Thursday 13:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,90,Day 3 - Thursday 18:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,95,Day 3 - Thursday 23:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,100,Day 4 - Friday 04:00,0,0,0,3,0,2,2026-07-15T19:35:44.979514
extra gen tech,105,Day 4 - Friday 09:00,0,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,110,Day 4 - Friday 14:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,115,Day 4 - Friday 19:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,120,Day 5 - Saturday 00:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,125,Day 5 - Saturday 05:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,130,Day 5 - Saturday 10:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,135,Day 5 - Saturday 15:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,140,Day 5 - Saturday 20:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,145,Day 6 - Sunday 01:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,150,Day 6 - Sunday 06:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,155,Day 6 - Sunday 11:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,160,Day 6 - Sunday 16:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,165,Day 6 - Sunday 21:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,170,Day 7 - Monday 02:00,1,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,175,Day 7 - Monday 07:00,5,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,180,Day 7 - Monday 12:00,4,0,1,2,1,1,2026-07-15T19:35:44.979514
extra gen tech,185,Day 7 - Monday 17:00,2,0,1,2,1,1,2026-07-15T19:35:44.979514
extra gen tech,190,Day 7 - Monday 22:00,2,0,1,2,1,1,2026-07-15T19:35:44.979514
extra gen tech,195,Day 8 - Tuesday 03:00,2,0,1,2,1,1,2026-07-15T19:35:44.979514
extra gen tech,200,Day 8 - Tuesday 08:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,205,Day 8 - Tuesday 13:00,1,1,1,2,1,1,2026-07-15T19:35:44.979514
extra gen tech,210,Day 8 - Tuesday 18:00,1,0,1,2,1,1,2026-07-15T19:35:44.979514
extra gen tech,215,Day 8 - Tuesday 23:00,1,0,1,2,1,1,2026-07-15T19:35:44.979514
extra gen tech,220,Day 9 - Wednesday 04:00,1,0,1,2,1,1,2026-07-15T19:35:44.979514
extra gen tech,225,Day 9 - Wednesday 09:00,0,0,1,2,1,1,2026-07-15T19:35:44.979514
extra gen tech,230,Day 9 - Wednesday 14:00,0,0,1,2,1,1,2026-07-15T19:35:44.979514
extra gen tech,235,Day 9 - Wednesday 19:00,0,0,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,240,Day 10 - Thursday 00:00,0,0,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,245,Day 10 - Thursday 05:00,0,0,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,250,Day 10 - Thursday 10:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,255,Day 10 - Thursday 15:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,260,Day 10 - Thursday 20:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,265,Day 11 - Friday 01:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,270,Day 11 - Friday 06:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,275,Day 11 - Friday 11:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,280,Day 11 - Friday 16:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,285,Day 11 - Friday 21:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,290,Day 12 - Saturday 02:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,295,Day 12 - Saturday 07:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,300,Day 12 - Saturday 12:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,305,Day 12 - Saturday 17:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,310,Day 12 - Saturday 22:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,315,Day 13 - Sunday 03:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,320,Day 13 - Sunday 08:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,325,Day 13 - Sunday 13:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,330,Day 13 - Sunday 18:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,335,Day 13 - Sunday 23:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,340,Day 14 - Monday 04:00,2,1,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,345,Day 14 - Monday 09:00,5,0,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,350,Day 14 - Monday 14:00,5,0,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,355,Day 14 - Monday 19:00,5,0,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,360,Day 15 - Tuesday 00:00,5,0,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,365,Day 15 - Tuesday 05:00,5,0,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,370,Day 15 - Tuesday 10:00,5,0,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,375,Day 15 - Tuesday 15:00,4,0,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,380,Day 15 - Tuesday 20:00,4,0,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,385,Day 16 - Wednesday 01:00,4,0,2,1,2,0,2026-07-15T19:35:44.979514
extra gen tech,390,Day 16 - Wednesday 06:00,4,0,2,1,2,0,2026-07-15T19:35:44.979514
